,text,listed_count,statuses_count,followers_count,favourites_count,friends_count,full_name,place_lat,place_lon,negative,positive,sentclass
2350,"At Rye Starbucks, I'm having a bottle of Starbucks Frappuccino chilled coffee drink.  Partly cloudy, 43 F.",17,9959,120,7,97,"Rye, NY",40.968536,-73.68602,0,0,2
860,A Starbucks gife card would come in handy during finals!!! #starbucks,1,8706,211,606,393,"San Antonio, TX",29.417501,-98.5406515,0,1,3
1386,I can't seem to wake up so I got coffee #sleepy #coffee #wakemeup @ Starbucks https://t.co/ocO5d7rCGj,10,1584,63,36,238,"San Antonio, TX",29.417501,-98.5406515,0,0,2
933,"Snack and drink (@ Starbucks in San Diego, CA w/ @wizardsd) https://t.co/8Znx79BeYp",7,2721,78,321,156,"San Diego, CA",32.810012,-117.104989,0,0,2
1467,Want to work at Starbucks? We're #hiring in ! Click for details: https://t.co/Q6hqBI7Vn7 #Job #Hospitality #Veterans #Jobs #CareerArc,98,945,462,0,289,"San Diego, CA",32.810012,-117.104989,0,1,3
2338,"I'm at Starbucks in San Diego, CA https://t.co/rUobPg0ErZ",8,5571,54,445,406,"San Diego, CA",32.810012,-117.104989,0,0,2
551,WTF with Starbucks. You make coffee. How the hell is that take longer than food at a restaurant. You have 1 job.,22,1993,236,163,243,"San Francisco, CA",37.7706565,-122.4359785,1,1,2
953,was checking out this dudes dick print at Starbucks just now and im pretty sure he caught me lookin lmao,76,5919,22460,24524,420,"San Francisco, CA",37.7706565,-122.4359785,0,1,3
1974,"@mehdiaitoufkir classic loyalty program https://t.co/Eon5FMjT5w great landing page, Clicking upload is broken.",4,321,78,267,114,"San Francisco, CA",37.7706565,-122.4359785,1,2,3
1876,Enjoying this beautiful sunny Saturday and indulging #starbucksâ€_ https://t.co/EKRV21L91R,2,343,57,3,115,"San Jose, CA",37.331159,-121.8737305,0,3,3
1842,Join the Starbucks team! See our latest #job opening here: https://t.co/QqxMXxgu8b #Hospitality #Veterans #Hiring #CareerArc,38,169,295,0,261,"Santa Paula, CA",34.3600145,-119.067407,0,2,3
2743,The moment that @Susan__Morales walks into Starbucks two minutes after you got out í _í_Å,5,21576,562,26918,599,"Santa Paula, CA",34.3600145,-119.067407,0,0,2
431,#seattle #surrealist saturday #starbucks @ Starbucks https://t.co/fO5c2qs2dP,0,1104,16,19,45,"Seattle, WA",47.614817,-122.3306025,0,0,2
18,Want to work at Starbucks? We're #hiring in ! Click for details: https://t.co/dfFovqbuzn #Job #Hospitality #Veterans #Jobs #CareerArc,102,960,436,0,287,"Serenada, TX",30.691106,-97.701478,0,1,3
1760,"mom: do you want Starbucks?gma: is the pope Catholic?",1,546,159,710,247,"Seven Fields, PA",40.6935755,-80.078201,0,1,3
2201,Starbucksí _í´“,0,1368,59,277,59,"Signal Hill, CA",33.8042615,-118.167272,0,0,2
588,Want to work at Starbucks? We're #hiring in ! Click for details: https://t.co/WfwO3BEwtM #Job #Hospitality #Veterans #Jobs #CareerArc,101,1245,549,0,315,"Smokey Point, WA",48.1449595,-122.199342,0,1,3
562,"@Starbucks cake pops are like little crack balls, I'm gonna need a 12 step program! #cantstop",4,1004,166,1448,158,"Snohomish, WA",47.93114,-122.0782175,1,0,1
238,"Starbucks, N*SYNC's ""Home For Christmas"" album, and a long drive back home. â˜•í _í_¶í _í_„",11,28669,418,6335,66,"South Carolina, CA",33.6311395,-80.926628,0,0,2
2967,Join the Starbucks team! See our latest #job opening here: https://t.co/TxHg4TbUhj #Hospitality #Veterans #Hiring #CareerArc,44,123,302,0,268,"Sparks, NV",39.5742165,-119.7106945,0,2,3
1023,How adorbs the #starbucks #holiday #coffecup ? #starbucksholidaycup #starbuck #starbuckcupâ€_ https://t.co/zYL75fyIqv,27,372,208,430,861,"Spring, TX",30.0635145,-95.3778145,0,1,3
1460,I don't even like Starbucks...,2,9617,530,5904,438,"Ames, IA",42.022659,-93.646564,0,0,2
1574,Kicking it with a @Starbucks Creme BrÃ»lÃ©e Frapuccino (its back!!) and some fresh @adidasoriginals ! í _í±Ÿâ˜•ï¸èâ€_ https://t.co/QTOYxGMCs1,49,5357,548,213,717,"Orlando, FL",28.410607,-81.455528,0,0,2
1123,Join the Starbucks team! See our latest #job opening here: https://t.co/jfFi63xXdK #Hospitality #Veterans #Hiring #CareerArc,140,5534,713,0,310,"State College, PA",40.7835375,-77.8581095,0,2,3
1877,Mi favorito #caramelmacchiato í _í¸çâ˜•ï¸è @ Starbucks https://t.co/srM0Z53Bim,7,15921,1076,6209,722,"Staten Island, NY",40.572376,-74.153947,0,0,2
92,My family just debated if my dog were a Starbucks drink what kind he'd be soooooo,5,26210,664,7378,185,"Sterling Heights, MI",42.581306,-83.030573,0,1,3
107,Haven't been having the best weekend &amp; some stranger blessed me with a venti coffee at Starbucks. Bless your beautiful soul,2,8107,339,708,276,"Stillwater, OK",36.129689,-97.0802045,1,3,3
3090,The workers at March and I5 starbucks are so nice to me and they gave me a free drink í _í¸©í _í¸Œ,0,104,11,68,18,"Stockton, CA",37.980826,-121.3004255,0,1,3
2805,"I'm at Starbucks in Toledo, OH https://t.co/Afnih78amR",25,10722,851,1182,1260,"Sylvania, OH",41.6930445,-83.7122465,0,0,2
2126,Want to work at Starbucks? We're #hiring in ! Click for details: https://t.co/yLf8MWrjw4 #Job #Hospitality #Veterans #Jobs #CareerArc,140,5537,713,0,310,"Tallahassee, FL",30.4762155,-84.266174,0,1,3
1088,@HeyImMixed_ lmaoo right they put my name on the wall í _í¸_í _í¸_ my supervisor was like Starbucks bout to add another drinkí _í¸_í _í¸_í _í¸_,65,301027,5259,10303,1122,"Tampa, FL",27.9965945,-82.442694,1,0,1
2646,Wish me luck in my finalsâ˜_ï¸è (with Lujain at @starbucks) â€” https://t.co/MMT5sP6vFH,4,13549,420,162,246,"Tempe, AZ",33.392884,-111.928142,0,1,3
2859,Join the Starbucks team! See our latest #job opening here: https://t.co/yu34OMRBHn #Hospitality #Veterans #Hiring #CareerArc,116,1047,555,0,286,"Tempe, AZ",33.392884,-111.928142,0,2,3
904,zachs been in starbucks waiting for our drinks for 30 mins,2,15391,600,6379,489,"Terrell, TX",32.732824,-96.2997785,0,0,2
101,Really want Starbucks,3,37630,1372,24476,1157,"Texas, USA",31.1688935,-100.0768885,0,0,2
3105,need a boyfriend to go to Starbucks and target with me weekly,1,599,198,114,148,"Texas, USA",31.1688935,-100.0768885,0,0,2
986,"I'm at Starbucks in The Woodlands, TX https://t.co/8XHf92Zr3Z",70,203260,1024,4377,1227,"The Woodlands, TX",30.1812515,-95.5398525,0,0,2
567,"I'm at Starbucks in Troy, MI https://t.co/gWOOqEBNg6",7,10489,147,2,442,"Troy, MI",42.579003,-83.1480435,0,0,2
370,I refuse to go to Starbucks on Broadway and Kolb done with them,1,727,54,475,213,"Tucson, AZ",32.1893905,-110.9155735,1,0,1
2437,"Want to work at Starbucks? We're #hiring in 5300 CAPITOL BLVD SE, #TUMWATER, WA! Click for details: https://t.co/xYVGMuBJRl #Hospitality",48,506,314,0,265,"Tumwater, WA",46.9713185,-122.9352255,0,0,2
2281,"Grabbing a coffee with my daughter (@ Starbucks in Tuscaloosa, AL) https://t.co/9GQasBwOsC",0,7,13,5,67,"Tuscaloosa, AL",33.1966005,-87.5334065,0,0,2
33,Join the Starbucks team! See our latest #job opening here: https://t.co/FUZQOCiJEe #Hospitality #Veterans #Hiring #CareerArc,69,481,306,0,261,"Union City, CA",37.592159,-122.044814,0,2,3
579,I feel so at home...... #starbucks https://t.co/VDyKPMoh2D,11,2760,274,3683,152,"Lake, MI",41.897894,-87.624235,0,0,2
1964,"This girl just came into Starbucks and gave me her card and said ""I just need to get tweaked the fucked out""Same boo same",2,17894,711,23720,133,"University, FL",28.0768615,-82.432361,1,0,1
108,Busy day of shopping with the girl âù_ï¸è #christmas2k16í _í_…í _í¿_í _í_„  #starbucksâ€_ https://t.co/9wFXFflxZm,2,934,50,531,193,"Vestal, NY",42.0568865,-76.0278695,0,1,3
368,Join the Starbucks team! See our latest #job opening here: https://t.co/1hOJxDc2PU #Hospitality #Veterans #Hiring #CareerArc,92,1036,389,0,285,"Vineyard, CA",38.46894,-121.3322235,0,2,3
1606,"This #job might be a great fit for you: Barista (Starbucks) - part time - https://t.co/pMFLXAGnw2 #barista #Hospitality #Warwick, RI",395,1508,347,0,217,"Warwick, RI",41.6989405,-71.43667,0,2,3
1644,#Randomencounters with the #beautiful @ritaora @ Starbucks https://t.co/zTrnZB7Ktl,15,2978,3811,240,638,"West Hollywood, CA",34.0870095,-118.369645,0,0,2
2195,"âù„ï¸è Warm up for the Winter â˜ƒâ˜ƒ GIVEAWAY CONTEST âù„ï¸èWIN a $25 dollar Starbucks gift card â˜•ï¸èIt'sâ€_ https://t.co/nnLxKJDRvG",160,12488,1205,191,1326,"West Linn, OR",45.3693065,-122.6413875,0,1,3
1884,"I'm at Starbucks in Whittier, Calif w/ @mmermell @1angell18 @chanelgirl63 @notepadzone https://t.co/JEkHB7VFRy https://t.co/zAlne08oqU",128,26985,6139,2132,5296,"West Whittier, CA",33.977809,-118.0701635,0,0,2
594,"Join the Starbucks team! See our latest #job opening here: https://t.co/pSowhALtoT #Hospitality 8008 EAST CENTRAL, #WICHITA, KS #Veterans",72,270,360,0,286,"Wichita, KS",37.6838965,-97.343915,0,2,3
600,Starbucks chillin on my lunch... #starbucks #art #blackandwhitephotography I'm trendy #afâ€_ https://t.co/lRNIvOukZh,12,2443,72,793,209,"Wichita, KS",37.6838965,-97.343915,0,2,3
2414,Someone bring me Starbucks to work? í _í¸¬,1,11815,373,5462,331,"Wichita, KS",37.6838965,-97.343915,0,0,2
2780,Want to work at Starbucks? We're #hiring in ! Click for details: https://t.co/4IVxyWUEHf #Job #Hospitality #Veterans #Jobs #CareerArc,170,11275,453,0,290,"Willows, CA",39.524221,-122.201098,0,1,3
3073,"Join the Starbucks team! See our latest #job opening here: https://t.co/jrLeLJjUqU #Hospitality 1208 NORTH 40TH AVENUE, #YAKIMA, WA #Hiring",67,482,335,0,288,"Yakima, WA",46.5942225,-120.5297595,0,2,3
2969,Just posted a photo @ Starbucks Macy's Cross County - Yonkers https://t.co/KHm50izU7X,0,406,31,229,219,"Yonkers, NY",40.9445675,-73.860857,1,0,1
2448,Join the Starbucks team! See our latest #job opening here: https://t.co/PDRfGweOAW #Hospitality #Veterans #Hiring #CareerArc,60,298,336,0,284,"Yuma, AZ",32.668218,-114.5847525,0,2,3
